2016 Federal Election House of Representatives First Preferences By Candidate By Polling Place for ACT [Event:20499 Phase:FinalResults Generated:2017-05-11T17:34:48 Cycle:a45ea4bc-bff6-48cb-94c5-1bbaae0c7c0d Created:2017-05-11T17:29:15 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.5.84.43192]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
ACT,101,Canberra,8829,Barton,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,777,-4.43
ACT,101,Canberra,8829,Barton,28336,CAHILL,Patricia,2,N,N,GRN,The Greens,467,4.24
ACT,101,Canberra,8829,Barton,29373,BUCKNELL,Christopher D'Arcy,3,N,N,BTA,Bullet Train For Australia,81,-0.71
ACT,101,Canberra,8829,Barton,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,907,4.01
ACT,101,Canberra,8829,Barton,999,Informal,Informal,999,N,N,,Informal,45,-1.31
ACT,101,Canberra,64583,Belconnen CANBERRA PPVC,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,485,4.17
ACT,101,Canberra,64583,Belconnen CANBERRA PPVC,28336,CAHILL,Patricia,2,N,N,GRN,The Greens,177,0.15
ACT,101,Canberra,64583,Belconnen CANBERRA PPVC,29373,BUCKNELL,Christopher D'Arcy,3,N,N,BTA,Bullet Train For Australia,63,-0.42
ACT,101,Canberra,64583,Belconnen CANBERRA PPVC,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,394,1.97
ACT,101,Canberra,64583,Belconnen CANBERRA PPVC,999,Informal,Informal,999,N,N,,Informal,23,-2.73
ACT,101,Canberra,65504,BLV Canberra PPVC,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,12,-3.88
ACT,101,Canberra,65504,BLV Canberra PPVC,28336,CAHILL,Patricia,2,N,N,GRN,The Greens,5,-4.28
ACT,101,Canberra,65504,BLV Canberra PPVC,29373,BUCKNELL,Christopher D'Arcy,3,N,N,BTA,Bullet Train For Australia,2,5.92
ACT,101,Canberra,65504,BLV Canberra PPVC,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,14,7.61
ACT,101,Canberra,65504,BLV Canberra PPVC,999,Informal,Informal,999,N,N,,Informal,1,-1.72
ACT,101,Canberra,11877,Bonython,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,942,5.02
ACT,101,Canberra,11877,Bonython,28336,CAHILL,Patricia,2,N,N,GRN,The Greens,218,-0.18
ACT,101,Canberra,11877,Bonython,29373,BUCKNELL,Christopher D'Arcy,3,N,N,BTA,Bullet Train For Australia,65,-0.76
ACT,101,Canberra,11877,Bonython,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,629,-0.03
ACT,101,Canberra,11877,Bonython,999,Informal,Informal,999,N,N,,Informal,53,-2.5
ACT,101,Canberra,8802,Braddon (Canberra),28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,470,-9.64
ACT,101,Canberra,8802,Braddon (Canberra),28336,CAHILL,Patricia,2,N,N,GRN,The Greens,359,8.07
ACT,101,Canberra,8802,Braddon (Canberra),29373,BUCKNELL,Christopher D'Arcy,3,N,N,BTA,Bullet Train For Australia,79,1.11
ACT,101,Canberra,8802,Braddon (Canberra),28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,341,4.54
ACT,101,Canberra,8802,Braddon (Canberra),999,Informal,Informal,999,N,N,,Informal,22,-1.97
ACT,101,Canberra,11452,Calwell,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,1081,4.35
ACT,101,Canberra,11452,Calwell,28336,CAHILL,Patricia,2,N,N,GRN,The Greens,257,0.22
ACT,101,Canberra,11452,Calwell,29373,BUCKNELL,Christopher D'Arcy,3,N,N,BTA,Bullet Train For Australia,111,1.16
ACT,101,Canberra,11452,Calwell,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,816,-1.05
ACT,101,Canberra,11452,Calwell,999,Informal,Informal,999,N,N,,Informal,94,-1.04
ACT,101,Canberra,8806,Campbell,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,677,2.53
ACT,101,Canberra,8806,Campbell,28336,CAHILL,Patricia,2,N,N,GRN,The Greens,309,2.87
ACT,101,Canberra,8806,Campbell,29373,BUCKNELL,Christopher D'Arcy,3,N,N,BTA,Bullet Train For Australia,78,-1.85
ACT,101,Canberra,8806,Campbell,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,787,0.27
ACT,101,Canberra,8806,Campbell,999,Informal,Informal,999,N,N,,Informal,26,0.82
ACT,101,Canberra,8761,Chapman,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,1103,1.11
ACT,101,Canberra,8761,Chapman,28336,CAHILL,Patricia,2,N,N,GRN,The Greens,428,2.45
ACT,101,Canberra,8761,Chapman,29373,BUCKNELL,Christopher D'Arcy,3,N,N,BTA,Bullet Train For Australia,127,1.52
ACT,101,Canberra,8761,Chapman,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,975,-1.05
ACT,101,Canberra,8761,Chapman,999,Informal,Informal,999,N,N,,Informal,55,-1.47
ACT,101,Canberra,8763,Chisholm,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,832,7.68
ACT,101,Canberra,8763,Chisholm,28336,CAHILL,Patricia,2,N,N,GRN,The Greens,153,-0.3
ACT,101,Canberra,8763,Chisholm,29373,BUCKNELL,Christopher D'Arcy,3,N,N,BTA,Bullet Train For Australia,88,1.02
ACT,101,Canberra,8763,Chisholm,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,606,-2.39
ACT,101,Canberra,8763,Chisholm,999,Informal,Informal,999,N,N,,Informal,56,-1.76
ACT,101,Canberra,8808,City (Canberra),28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,381,-6.72
ACT,101,Canberra,8808,City (Canberra),28336,CAHILL,Patricia,2,N,N,GRN,The Greens,295,1.92
ACT,101,Canberra,8808,City (Canberra),29373,BUCKNELL,Christopher D'Arcy,3,N,N,BTA,Bullet Train For Australia,51,-0.41
ACT,101,Canberra,8808,City (Canberra),28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,317,9.04
ACT,101,Canberra,8808,City (Canberra),999,Informal,Informal,999,N,N,,Informal,30,-0.71
ACT,101,Canberra,58708,City CANBERRA PPVC,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,2496,-4.57
ACT,101,Canberra,58708,City CANBERRA PPVC,28336,CAHILL,Patricia,2,N,N,GRN,The Greens,1206,3.08
