2016 Federal Election House of Representatives Candidates [Event:20499 Phase:FinalResults Generated:2017-05-11T17:34:36 Cycle:a45ea4bc-bff6-48cb-94c5-1bbaae0c7c0d Created:2017-05-11T17:29:15 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.5.84.43192]
StateAb,DivisionID,DivisionNm,PartyAb,PartyNm,CandidateID,Surname,GivenNm,Elected,HistoricElected
NSW,151,Warringah,LP,Liberal,28624,ABBOTT,Tony,Y,Y
VIC,203,Calwell,GRN,The Greens,28134,ABBOUD,Natalie,N,N
NSW,251,Watson,CDP,Christian Democratic Party (Fred Nile Group),28733,ABDULLA,Violet,N,N
QLD,163,Griffith,LDP,Liberal Democrats,29359,ABLETT,Bronwyn,N,N
NSW,152,Wentworth,ARTS,The Arts Party,27996,ACKROYD,Anthony Michael,N,N
ACT,101,Canberra,LP,Liberal,28989,ADELAN-LANGFORD,Jessica,N,N
QLD,304,Blair,ON,Pauline Hanson's One Nation,29279,AGGETT,Troy,N,N
QLD,316,Wright,GRN,The Greens,29258,AGNOLETTO,Pietro,N,N
SA,190,Sturt,IND,Independent,28010,AITCHISON,Neil,N,N
NSW,121,Grayndler,ALP,Labor,29343,ALBANESE,Anthony,Y,Y
VIC,234,Wills,SAL,Socialist Alliance,28738,ALCORN,Zane,N,N
SA,187,Makin,IND,Independent,27986,ALDRIDGE,Mark,N,N
NSW,105,Bennelong,LP,Liberal,28568,ALEXANDER,John,Y,Y
NSW,105,Bennelong,GRN,The Greens,28550,ALICK,Justin,N,N
TAS,194,Denison,LP,Liberal,28426,ALLAN,Marcus,N,N
NSW,134,Mitchell,CDP,Christian Democratic Party (Fred Nile Group),28754,ALLEN,Darryl,N,N
NSW,152,Wentworth,IND,Independent,28457,ALLEN,David,N,N
NSW,130,Lyne,ALP,Labor,28904,ALLEY,Peter,N,N
WA,237,Cowan,ALP,Australian Labor Party,28727,ALY,Anne,Y,N
VIC,226,McEwen,NP,The Nationals,28391,ANDERSON,James,N,N
QLD,163,Griffith,GRN,The Greens,29369,ANDERSON,Karen,N,N
SA,191,Wakefield,CDP,Christian Democratic Party (Fred Nile Group),29137,ANDERSON,Ralph,N,N
QLD,160,Fairfax,ALP,Australian Labor Party,29021,ANDERSON,Scott,N,N
VIC,226,McEwen,CYA,Australian Country Party,28542,ANDREW,Tracey,N,N
NSW,106,Berowra,ALP,Labor,28927,ANDREWS,Josh,N,N
QLD,171,McPherson,LNP,Liberal National Party of Queensland,28043,ANDREWS,Karen,Y,Y
VIC,229,Menzies,LP,Liberal,29161,ANDREWS,Kevin,Y,Y
NSW,125,Hume,BTA,Bullet Train For Australia,28944,ANTHONEY,Trevor,N,N
QLD,170,Maranoa,CM,CountryMinded,29394,ARBUCKLE,Luke,N,N
