2016 Federal Election House of Representatives First Preferences By Candidate By Polling Place for NT [Event:20499 Phase:FinalResults Generated:2017-05-11T17:34:48 Cycle:a45ea4bc-bff6-48cb-94c5-1bbaae0c7c0d Created:2017-05-11T17:29:15 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.5.84.43192]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
NT,306,Lingiari,8701,Alice Springs,28849,RIGHTON,Chris,1,N,N,ASP,"Shooters, Fishers and Farmers",33,2.69
NT,306,Lingiari,8701,Alice Springs,28735,SNOWDON,Warren,2,Y,Y,ALP,Australian Labor Party (Northern Territory) Branch,445,2.44
NT,306,Lingiari,8701,Alice Springs,24971,GOULD,Alfred,3,N,N,IND,Independent,16,-0.86
NT,306,Lingiari,8701,Alice Springs,29433,GUYULA,Yingiya Mark,4,N,N,IND,Independent,15,1.22
NT,306,Lingiari,8701,Alice Springs,28016,EARLEY,Braedon,5,N,N,IND,Independent,15,1.22
NT,306,Lingiari,8701,Alice Springs,28561,McCARTHY,Regina,6,N,N,RUA,Rise Up Australia Party,50,2.79
NT,306,Lingiari,8701,Alice Springs,28006,FLYNN,Peter,7,N,N,CEC,Citizens Electoral Council,8,-1.29
NT,306,Lingiari,8701,Alice Springs,28555,HOAD,Rob,8,N,N,GRN,The Greens,221,4.55
NT,306,Lingiari,8701,Alice Springs,28827,MacFARLANE,Tina,9,N,N,CLP,Country Liberals (NT),422,-5.52
NT,306,Lingiari,8701,Alice Springs,999,Informal,Informal,999,N,N,,Informal,66,-0.94
NT,306,Lingiari,65681,Alice Springs PPVC,28849,RIGHTON,Chris,1,N,N,ASP,"Shooters, Fishers and Farmers",141,3.13
NT,306,Lingiari,65681,Alice Springs PPVC,28735,SNOWDON,Warren,2,Y,Y,ALP,Australian Labor Party (Northern Territory) Branch,1599,35.49
NT,306,Lingiari,65681,Alice Springs PPVC,24971,GOULD,Alfred,3,N,N,IND,Independent,52,1.15
NT,306,Lingiari,65681,Alice Springs PPVC,29433,GUYULA,Yingiya Mark,4,N,N,IND,Independent,22,0.49
NT,306,Lingiari,65681,Alice Springs PPVC,28016,EARLEY,Braedon,5,N,N,IND,Independent,70,1.55
NT,306,Lingiari,65681,Alice Springs PPVC,28561,McCARTHY,Regina,6,N,N,RUA,Rise Up Australia Party,148,3.29
NT,306,Lingiari,65681,Alice Springs PPVC,28006,FLYNN,Peter,7,N,N,CEC,Citizens Electoral Council,25,0.55
NT,306,Lingiari,65681,Alice Springs PPVC,28555,HOAD,Rob,8,N,N,GRN,The Greens,621,13.78
