2016 Federal Election House of Representatives First Preferences By Candidate By Polling Place for QLD [Event:20499 Phase:FinalResults Generated:2017-05-11T17:34:54 Cycle:a45ea4bc-bff6-48cb-94c5-1bbaae0c7c0d Created:2017-05-11T17:29:15 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.5.84.43192]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
QLD,304,Blair,65494,BLV Blair PPVC,29420,TURNER,Sandy,1,N,N,IND,Independent,0,0
QLD,304,Blair,65494,BLV Blair PPVC,29414,EMMS,Jonathan,2,N,N,IND,Independent,0,0
QLD,304,Blair,65494,BLV Blair PPVC,28916,NEUMANN,Shayne,3,Y,Y,ALP,Australian Labor Party,7,7.33
QLD,304,Blair,65494,BLV Blair PPVC,29417,PETERSEN,Patricia,4,N,N,IND,Independent,0,0
QLD,304,Blair,65494,BLV Blair PPVC,29255,WALSH,Pat,5,N,N,GRN,The Greens,1,1.96
QLD,304,Blair,65494,BLV Blair PPVC,29279,AGGETT,Troy,6,N,N,ON,Pauline Hanson's One Nation,1,9.09
QLD,304,Blair,65494,BLV Blair PPVC,28033,HARDING,Teresa,7,N,N,LNP,Liberal National Party of Queensland,2,-17.15
QLD,304,Blair,65494,BLV Blair PPVC,29236,DARR,Geoff,8,N,N,FFP,Family First,0,-0.18
QLD,304,Blair,65494,BLV Blair PPVC,999,Informal,Informal,999,N,N,,Informal,0,-0.39
QLD,304,Blair,6347,Brassall,29420,TURNER,Sandy,1,N,N,IND,Independent,26,1.31
QLD,304,Blair,6347,Brassall,29414,EMMS,Jonathan,2,N,N,IND,Independent,19,0.96
QLD,304,Blair,6347,Brassall,28916,NEUMANN,Shayne,3,Y,Y,ALP,Australian Labor Party,927,3.23
QLD,304,Blair,6347,Brassall,29417,PETERSEN,Patricia,4,N,N,IND,Independent,15,0.76
QLD,304,Blair,6347,Brassall,29255,WALSH,Pat,5,N,N,GRN,The Greens,95,1.53
QLD,304,Blair,6347,Brassall,29279,AGGETT,Troy,6,N,N,ON,Pauline Hanson's One Nation,251,12.64
