2016 Federal Election House of Representatives First Preferences By Candidate By Polling Place for SA [Event:20499 Phase:FinalResults Generated:2017-05-11T17:34:50 Cycle:a45ea4bc-bff6-48cb-94c5-1bbaae0c7c0d Created:2017-05-11T17:29:15 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.5.84.43192]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
SA,179,Adelaide,6648,Adelaide,29106,GUY,Sophie,1,N,N,GRN,The Greens,149,1.3
SA,179,Adelaide,6648,Adelaide,29059,RIVISH,Adrian,2,N,N,FFP,Family First,11,-0.73
SA,179,Adelaide,6648,Adelaide,28465,TIDSWELL,Matt,3,N,N,AJP,Animal Justice Party,7,0.94
SA,179,Adelaide,6648,Adelaide,29464,LOCK,Tyrone,4,N,N,LDP,Liberal Democrats,13,1.74
SA,179,Adelaide,6648,Adelaide,29552,COLOVIC,David,5,N,N,LP,Liberal,202,-3.56
SA,179,Adelaide,6648,Adelaide,29073,ELLIS,Kate,6,Y,Y,ALP,Australian Labor Party,273,-8.36
SA,179,Adelaide,6648,Adelaide,29128,HILL,Joe,7,N,N,XEN,Nick Xenophon Team,93,12.43
SA,179,Adelaide,6648,Adelaide,999,Informal,Informal,999,N,N,,Informal,20,-2.5
SA,179,Adelaide,32952,Adelaide ADELAIDE PPVC,29106,GUY,Sophie,1,N,N,GRN,The Greens,466,0.76
SA,179,Adelaide,32952,Adelaide ADELAIDE PPVC,29059,RIVISH,Adrian,2,N,N,FFP,Family First,48,-0.18
SA,179,Adelaide,32952,Adelaide ADELAIDE PPVC,28465,TIDSWELL,Matt,3,N,N,AJP,Animal Justice Party,47,1.44
SA,179,Adelaide,32952,Adelaide ADELAIDE PPVC,29464,LOCK,Tyrone,4,N,N,LDP,Liberal Democrats,42,1.29
SA,179,Adelaide,32952,Adelaide ADELAIDE PPVC,29552,COLOVIC,David,5,N,N,LP,Liberal,1203,-6.56
SA,179,Adelaide,32952,Adelaide ADELAIDE PPVC,29073,ELLIS,Kate,6,Y,Y,ALP,Australian Labor Party,1055,-5.97
SA,179,Adelaide,32952,Adelaide ADELAIDE PPVC,29128,HILL,Joe,7,N,N,XEN,Nick Xenophon Team,392,12.05
SA,179,Adelaide,32952,Adelaide ADELAIDE PPVC,999,Informal,Informal,999,N,N,,Informal,102,0.73
SA,179,Adelaide,6649,Adelaide East,29106,GUY,Sophie,1,N,N,GRN,The Greens,270,5.78
SA,179,Adelaide,6649,Adelaide East,29059,RIVISH,Adrian,2,N,N,FFP,Family First,16,-0.78
SA,179,Adelaide,6649,Adelaide East,28465,TIDSWELL,Matt,3,N,N,AJP,Animal Justice Party,19,1.22
SA,179,Adelaide,6649,Adelaide East,29464,LOCK,Tyrone,4,N,N,LDP,Liberal Democrats,10,0.64
SA,179,Adelaide,6649,Adelaide East,29552,COLOVIC,David,5,N,N,LP,Liberal,551,-8.3
SA,179,Adelaide,6649,Adelaide East,29073,ELLIS,Kate,6,Y,Y,ALP,Australian Labor Party,553,-4.81
SA,179,Adelaide,6649,Adelaide East,29128,HILL,Joe,7,N,N,XEN,Nick Xenophon Team,137,8.8
SA,179,Adelaide,6649,Adelaide East,999,Informal,Informal,999,N,N,,Informal,31,-1.13
SA,179,Adelaide,65965,Adelaide INTERSTATE PPVC,29106,GUY,Sophie,1,N,N,GRN,The Greens,0,-11.75
SA,179,Adelaide,65965,Adelaide INTERSTATE PPVC,29059,RIVISH,Adrian,2,N,N,FFP,Family First,0,-3.62
SA,179,Adelaide,65965,Adelaide INTERSTATE PPVC,28465,TIDSWELL,Matt,3,N,N,AJP,Animal Justice Party,0,0
SA,179,Adelaide,65965,Adelaide INTERSTATE PPVC,29464,LOCK,Tyrone,4,N,N,LDP,Liberal Democrats,0,0
SA,179,Adelaide,65965,Adelaide INTERSTATE PPVC,29552,COLOVIC,David,5,N,N,LP,Liberal,0,-38.26
SA,179,Adelaide,65965,Adelaide INTERSTATE PPVC,29073,ELLIS,Kate,6,Y,Y,ALP,Australian Labor Party,0,-41.94
SA,179,Adelaide,65965,Adelaide INTERSTATE PPVC,29128,HILL,Joe,7,N,N,XEN,Nick Xenophon Team,0,0
SA,179,Adelaide,65965,Adelaide INTERSTATE PPVC,999,Informal,Informal,999,N,N,,Informal,0,-4.52
SA,179,Adelaide,6651,Adelaide South,29106,GUY,Sophie,1,N,N,GRN,The Greens,464,3.29
SA,179,Adelaide,6651,Adelaide South,29059,RIVISH,Adrian,2,N,N,FFP,Family First,19,-0.7
SA,179,Adelaide,6651,Adelaide South,28465,TIDSWELL,Matt,3,N,N,AJP,Animal Justice Party,46,1.99
SA,179,Adelaide,6651,Adelaide South,29464,LOCK,Tyrone,4,N,N,LDP,Liberal Democrats,33,1.43
SA,179,Adelaide,6651,Adelaide South,29552,COLOVIC,David,5,N,N,LP,Liberal,702,-4.28
SA,179,Adelaide,6651,Adelaide South,29073,ELLIS,Kate,6,Y,Y,ALP,Australian Labor Party,804,-9.15
SA,179,Adelaide,6651,Adelaide South,29128,HILL,Joe,7,N,N,XEN,Nick Xenophon Team,243,10.51
SA,179,Adelaide,6651,Adelaide South,999,Informal,Informal,999,N,N,,Informal,54,-2.14
SA,179,Adelaide,7008,Black Forest (Adelaide),29106,GUY,Sophie,1,N,N,GRN,The Greens,91,0.84
SA,179,Adelaide,7008,Black Forest (Adelaide),29059,RIVISH,Adrian,2,N,N,FFP,Family First,19,-1.31
SA,179,Adelaide,7008,Black Forest (Adelaide),28465,TIDSWELL,Matt,3,N,N,AJP,Animal Justice Party,5,0.59
SA,179,Adelaide,7008,Black Forest (Adelaide),29464,LOCK,Tyrone,4,N,N,LDP,Liberal Democrats,5,0.59
SA,179,Adelaide,7008,Black Forest (Adelaide),29552,COLOVIC,David,5,N,N,LP,Liberal,247,-6.89
SA,179,Adelaide,7008,Black Forest (Adelaide),29073,ELLIS,Kate,6,Y,Y,ALP,Australian Labor Party,360,-3.57
