2016 Federal Election House of Representatives First Preferences By Candidate By Polling Place for TAS [Event:20499 Phase:FinalResults Generated:2017-05-11T17:34:49 Cycle:a45ea4bc-bff6-48cb-94c5-1bbaae0c7c0d Created:2017-05-11T17:29:15 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.5.84.43192]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
TAS,192,Bass,65496,BLV Bass PPVC,28235,RILEY-GIBSON,Terrill,1,N,N,GRN,The Greens,0,-16.54
TAS,192,Bass,65496,BLV Bass PPVC,28456,RAMAGE,Roy,2,N,N,REP,Renewable Energy Party,0,0
TAS,192,Bass,65496,BLV Bass PPVC,28451,HART,Ross,3,Y,N,ALP,Australian Labor Party,5,22.2
TAS,192,Bass,65496,BLV Bass PPVC,29358,BEATTIE,Malcolm Peter,4,N,N,CDP,Christian Democratic Party (Fred Nile Group),0,0
TAS,192,Bass,65496,BLV Bass PPVC,28429,NIKOLIC,Andrew,5,N,Y,LP,Liberal,2,-5.34
TAS,192,Bass,65496,BLV Bass PPVC,28222,TAPSELL,Mark,6,N,N,ARF,Australian Recreational Fishers Party,0,0
TAS,192,Bass,65496,BLV Bass PPVC,999,Informal,Informal,999,N,N,,Informal,0,-0.17
TAS,192,Bass,8290,Branxholm,28235,RILEY-GIBSON,Terrill,1,N,N,GRN,The Greens,27,7.36
TAS,192,Bass,8290,Branxholm,28456,RAMAGE,Roy,2,N,N,REP,Renewable Energy Party,7,3.52
TAS,192,Bass,8290,Branxholm,28451,HART,Ross,3,Y,N,ALP,Australian Labor Party,65,4.56
TAS,192,Bass,8290,Branxholm,29358,BEATTIE,Malcolm Peter,4,N,N,CDP,Christian Democratic Party (Fred Nile Group),10,5.03
TAS,192,Bass,8290,Branxholm,28429,NIKOLIC,Andrew,5,N,Y,LP,Liberal,84,-16.33
TAS,192,Bass,8290,Branxholm,28222,TAPSELL,Mark,6,N,N,ARF,Australian Recreational Fishers Party,6,3.02
TAS,192,Bass,8290,Branxholm,999,Informal,Informal,999,N,N,,Informal,7,1.52
TAS,192,Bass,8291,Bridport,28235,RILEY-GIBSON,Terrill,1,N,N,GRN,The Greens,70,3
TAS,192,Bass,8291,Bridport,28456,RAMAGE,Roy,2,N,N,REP,Renewable Energy Party,19,1.94
TAS,192,Bass,8291,Bridport,28451,HART,Ross,3,Y,N,ALP,Australian Labor Party,256,1.29
TAS,192,Bass,8291,Bridport,29358,BEATTIE,Malcolm Peter,4,N,N,CDP,Christian Democratic Party (Fred Nile Group),35,3.57
TAS,192,Bass,8291,Bridport,28429,NIKOLIC,Andrew,5,N,Y,LP,Liberal,530,-5.82
TAS,192,Bass,8291,Bridport,28222,TAPSELL,Mark,6,N,N,ARF,Australian Recreational Fishers Party,70,7.14
TAS,192,Bass,8291,Bridport,999,Informal,Informal,999,N,N,,Informal,24,-1.61
TAS,192,Bass,8295,Derby,28235,RILEY-GIBSON,Terrill,1,N,N,GRN,The Greens,17,-2.07
TAS,192,Bass,8295,Derby,28456,RAMAGE,Roy,2,N,N,REP,Renewable Energy Party,7,6.14
TAS,192,Bass,8295,Derby,28451,HART,Ross,3,Y,N,ALP,Australian Labor Party,42,7.59
TAS,192,Bass,8295,Derby,29358,BEATTIE,Malcolm Peter,4,N,N,CDP,Christian Democratic Party (Fred Nile Group),3,2.63
TAS,192,Bass,8295,Derby,28429,NIKOLIC,Andrew,5,N,Y,LP,Liberal,38,-12.9
TAS,192,Bass,8295,Derby,28222,TAPSELL,Mark,6,N,N,ARF,Australian Recreational Fishers Party,7,6.14
TAS,192,Bass,8295,Derby,999,Informal,Informal,999,N,N,,Informal,7,-5.12
TAS,192,Bass,8296,Dilston,28235,RILEY-GIBSON,Terrill,1,N,N,GRN,The Greens,87,3.3
TAS,192,Bass,8296,Dilston,28456,RAMAGE,Roy,2,N,N,REP,Renewable Energy Party,22,3.37
TAS,192,Bass,8296,Dilston,28451,HART,Ross,3,Y,N,ALP,Australian Labor Party,212,7.13
TAS,192,Bass,8296,Dilston,29358,BEATTIE,Malcolm Peter,4,N,N,CDP,Christian Democratic Party (Fred Nile Group),21,3.22
TAS,192,Bass,8296,Dilston,28429,NIKOLIC,Andrew,5,N,Y,LP,Liberal,282,-10.95
TAS,192,Bass,8296,Dilston,28222,TAPSELL,Mark,6,N,N,ARF,Australian Recreational Fishers Party,29,4.44
TAS,192,Bass,8296,Dilston,999,Informal,Informal,999,N,N,,Informal,35,1.51
TAS,192,Bass,30183,Divisional Office (PREPOLL),28235,RILEY-GIBSON,Terrill,1,N,N,GRN,The Greens,49,4.77
TAS,192,Bass,30183,Divisional Office (PREPOLL),28456,RAMAGE,Roy,2,N,N,REP,Renewable Energy Party,8,1.58
TAS,192,Bass,30183,Divisional Office (PREPOLL),28451,HART,Ross,3,Y,N,ALP,Australian Labor Party,210,4.89
TAS,192,Bass,30183,Divisional Office (PREPOLL),29358,BEATTIE,Malcolm Peter,4,N,N,CDP,Christian Democratic Party (Fred Nile Group),13,2.56
TAS,192,Bass,30183,Divisional Office (PREPOLL),28429,NIKOLIC,Andrew,5,N,Y,LP,Liberal,214,-5.71
TAS,192,Bass,30183,Divisional Office (PREPOLL),28222,TAPSELL,Mark,6,N,N,ARF,Australian Recreational Fishers Party,13,2.56
TAS,192,Bass,30183,Divisional Office (PREPOLL),999,Informal,Informal,999,N,N,,Informal,11,-2.06
TAS,192,Bass,8313,East Launceston,28235,RILEY-GIBSON,Terrill,1,N,N,GRN,The Greens,255,2.43
TAS,192,Bass,8313,East Launceston,28456,RAMAGE,Roy,2,N,N,REP,Renewable Energy Party,20,1.5
TAS,192,Bass,8313,East Launceston,28451,HART,Ross,3,Y,N,ALP,Australian Labor Party,417,1.62
TAS,192,Bass,8313,East Launceston,29358,BEATTIE,Malcolm Peter,4,N,N,CDP,Christian Democratic Party (Fred Nile Group),15,1.13
TAS,192,Bass,8313,East Launceston,28429,NIKOLIC,Andrew,5,N,Y,LP,Liberal,594,-4.17
TAS,192,Bass,8313,East Launceston,28222,TAPSELL,Mark,6,N,N,ARF,Australian Recreational Fishers Party,29,2.18
TAS,192,Bass,8313,East Launceston,999,Informal,Informal,999,N,N,,Informal,30,-0.46
TAS,192,Bass,8314,Five Ways,28235,RILEY-GIBSON,Terrill,1,N,N,GRN,The Greens,137,2.47
TAS,192,Bass,8314,Five Ways,28456,RAMAGE,Roy,2,N,N,REP,Renewable Energy Party,21,1.75
TAS,192,Bass,8314,Five Ways,28451,HART,Ross,3,Y,N,ALP,Australian Labor Party,562,10.8
TAS,192,Bass,8314,Five Ways,29358,BEATTIE,Malcolm Peter,4,N,N,CDP,Christian Democratic Party (Fred Nile Group),35,2.91
