2016 Federal Election House of Representatives First Preferences By Candidate By Polling Place for WA [Event:20499 Phase:FinalResults Generated:2017-05-11T17:34:52 Cycle:a45ea4bc-bff6-48cb-94c5-1bbaae0c7c0d Created:2017-05-11T17:29:15 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.5.84.43192]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
WA,235,Brand,7472,Baldivis,28420,SCOTT,Philip,1,N,N,RUA,Rise Up Australia Party,176,4.28
WA,235,Brand,7472,Baldivis,29103,KING,Madeleine,2,Y,N,ALP,Australian Labor Party,1559,6.44
WA,235,Brand,7472,Baldivis,29173,BURDETT,Robert,3,N,N,AUC,Australian Christians,222,2.96
WA,235,Brand,7472,Baldivis,28303,JECKS,Dawn,4,N,N,GRN,The Greens (WA),334,2.45
WA,235,Brand,7472,Baldivis,29138,BUCHANAN,Craig,5,N,N,LP,Liberal,1423,-5.93
WA,235,Brand,7472,Baldivis,999,Informal,Informal,999,N,N,,Informal,168,0.07
WA,235,Brand,64591,Baldivis East,28420,SCOTT,Philip,1,N,N,RUA,Rise Up Australia Party,107,4.22
WA,235,Brand,64591,Baldivis East,29103,KING,Madeleine,2,Y,N,ALP,Australian Labor Party,1058,8.3
WA,235,Brand,64591,Baldivis East,29173,BURDETT,Robert,3,N,N,AUC,Australian Christians,86,0.65
WA,235,Brand,64591,Baldivis East,28303,JECKS,Dawn,4,N,N,GRN,The Greens (WA),242,3.53
WA,235,Brand,64591,Baldivis East,29138,BUCHANAN,Craig,5,N,N,LP,Liberal,825,-6.07
WA,235,Brand,64591,Baldivis East,999,Informal,Informal,999,N,N,,Informal,89,-0.38
WA,235,Brand,65679,Baldivis North,28420,SCOTT,Philip,1,N,N,RUA,Rise Up Australia Party,141,4.69
WA,235,Brand,65679,Baldivis North,29103,KING,Madeleine,2,Y,N,ALP,Australian Labor Party,1243,9.76
WA,235,Brand,65679,Baldivis North,29173,BURDETT,Robert,3,N,N,AUC,Australian Christians,109,0.02
WA,235,Brand,65679,Baldivis North,28303,JECKS,Dawn,4,N,N,GRN,The Greens (WA),335,5.82
WA,235,Brand,65679,Baldivis North,29138,BUCHANAN,Craig,5,N,N,LP,Liberal,891,-9.1
WA,235,Brand,65679,Baldivis North,999,Informal,Informal,999,N,N,,Informal,140,-0.31
WA,235,Brand,38449,Bertram,28420,SCOTT,Philip,1,N,N,RUA,Rise Up Australia Party,142,5.21
WA,235,Brand,38449,Bertram,29103,KING,Madeleine,2,Y,N,ALP,Australian Labor Party,1302,8.53
WA,235,Brand,38449,Bertram,29173,BURDETT,Robert,3,N,N,AUC,Australian Christians,102,1.66
WA,235,Brand,38449,Bertram,28303,JECKS,Dawn,4,N,N,GRN,The Greens (WA),289,4.2
WA,235,Brand,38449,Bertram,29138,BUCHANAN,Craig,5,N,N,LP,Liberal,651,-8.67
WA,235,Brand,38449,Bertram,999,Informal,Informal,999,N,N,,Informal,106,-0.8
WA,235,Brand,65586,BLV Brand PPVC,28420,SCOTT,Philip,1,N,N,RUA,Rise Up Australia Party,1,7.69
WA,235,Brand,65586,BLV Brand PPVC,29103,KING,Madeleine,2,Y,N,ALP,Australian Labor Party,6,-12.18
WA,235,Brand,65586,BLV Brand PPVC,29173,BURDETT,Robert,3,N,N,AUC,Australian Christians,1,7.69
WA,235,Brand,65586,BLV Brand PPVC,28303,JECKS,Dawn,4,N,N,GRN,The Greens (WA),2,7.05
WA,235,Brand,65586,BLV Brand PPVC,29138,BUCHANAN,Craig,5,N,N,LP,Liberal,3,-1.92
WA,235,Brand,65586,BLV Brand PPVC,999,Informal,Informal,999,N,N,,Informal,0,-7.69
WA,235,Brand,7478,Calista,28420,SCOTT,Philip,1,N,N,RUA,Rise Up Australia Party,142,5.53
WA,235,Brand,7478,Calista,29103,KING,Madeleine,2,Y,N,ALP,Australian Labor Party,1227,5.7
WA,235,Brand,7478,Calista,29173,BURDETT,Robert,3,N,N,AUC,Australian Christians,106,2.4
WA,235,Brand,7478,Calista,28303,JECKS,Dawn,4,N,N,GRN,The Greens (WA),284,4.46
WA,235,Brand,7478,Calista,29138,BUCHANAN,Craig,5,N,N,LP,Liberal,496,-5.29
WA,235,Brand,7478,Calista,999,Informal,Informal,999,N,N,,Informal,105,-4.18
WA,235,Brand,7480,Cooloongup,28420,SCOTT,Philip,1,N,N,RUA,Rise Up Australia Party,146,6.77
WA,235,Brand,7480,Cooloongup,29103,KING,Madeleine,2,Y,N,ALP,Australian Labor Party,1196,6.2
WA,235,Brand,7480,Cooloongup,29173,BURDETT,Robert,3,N,N,AUC,Australian Christians,48,0.73
WA,235,Brand,7480,Cooloongup,28303,JECKS,Dawn,4,N,N,GRN,The Greens (WA),259,5.72
WA,235,Brand,7480,Cooloongup,29138,BUCHANAN,Craig,5,N,N,LP,Liberal,413,-6.98
WA,235,Brand,7480,Cooloongup,999,Informal,Informal,999,N,N,,Informal,127,-2.47
WA,235,Brand,30226,Divisional Office (PREPOLL),28420,SCOTT,Philip,1,N,N,RUA,Rise Up Australia Party,0,-1.79
WA,235,Brand,30226,Divisional Office (PREPOLL),29103,KING,Madeleine,2,Y,N,ALP,Australian Labor Party,0,-37.5
WA,235,Brand,30226,Divisional Office (PREPOLL),29173,BURDETT,Robert,3,N,N,AUC,Australian Christians,0,-8.93
