from_State,from_Division,from_Latitude,from_Longitude,to_State,to_Division,to_Latitude,to_Longitude,distance_metres,time_hours_minutes,trans_type
WA,Perth Airport,-31.936,115.964,NT,Darwin Airport,-12.4088317,130.8726632,4016000,44:00:00,car
WA,Perth Airport,-31.936,115.964,NT,Darwin Airport,-12.4088317,130.8726632,2646000,3:30:00,plane
WA,Perth Airport,-31.936,115.964,QLD,Brisbane Airport,-27.3833318,153.1174995,3614000,4:20:00,plane
WA,Perth Airport,-31.936,115.964,SA,Adelaide Airport,-34.94032957,138.5249979,2686000,28:00:00,car
WA,Perth Airport,-31.936,115.964,SA,Adelaide Airport,-34.94032957,138.5249979,2120000,2:50:00,plane
WA,Perth Airport,-31.936,115.964,NSW,Sydney Airport,-33.947346,151.179428,3284000,4:10:00,plane
WA,Perth Airport,-31.936,115.964,VIC,Melbourne Airport,-37.663712,144.844788,2706000,3:30:00,plane
SA,Adelaide Airport,-34.94032957,138.5249979,NT,Darwin Airport,-12.4088317,130.8726632,3028000,33:00:00,car
SA,Adelaide Airport,-34.94032957,138.5249979,NT,Darwin Airport,-12.4088317,130.8726632,2612000,2:40:00,plane
SA,Adelaide Airport,-34.94032957,138.5249979,QLD,Brisbane Airport,-27.3833318,153.1174995,1612000,1:20:00,plane
SA,Adelaide Airport,-34.94032957,138.5249979,VIC,Melbourne Airport,-37.663712,144.844788,731000,7:40:00,car
SA,Adelaide Airport,-34.94032957,138.5249979,VIC,Melbourne Airport,-37.663712,144.844788,642000,0:25:00,plane
SA,Adelaide Airport,-34.94032957,138.5249979,NSW,Sydney Airport,-33.947346,151.179428,1167000,0:50:00,plane
SA,Adelaide Airport,-34.94032957,138.5249979,TAS,Hobart Airport,-42.837284,147.505005,1171000,3:05:00,plane
VIC,Melbourne Airport,-37.663712,144.844788,NT,Darwin Airport,-12.4088317,130.8726632,3124000,4:25:00,plane
VIC,Melbourne Airport,-37.663712,144.844788,QLD,Brisbane Airport,-27.3833318,153.1174995,1379000,2:10:00,plane
VIC,Melbourne Airport,-37.663712,144.844788,NSW,Sydney Airport,-33.947346,151.179428,850000,7:50:00,car
VIC,Melbourne Airport,-37.663712,144.844788,NSW,Sydney Airport,-33.947346,151.179428,706000,1:25:00,plane
VIC,Melbourne Airport,-37.663712,144.844788,TAS,Hobart Airport,-42.837284,147.505005,732000,15:40:00,car
VIC,Melbourne Airport,-37.663712,144.844788,TAS,Hobart Airport,-42.837284,147.505005,616000,1:15:00,plane
TAS,Hobart Airport,-42.837284,147.505005,NSW,Sydney Airport,-33.947346,151.179428,1037000,1:50:00,plane
TAS,Hobart Airport,-42.837284,147.505005,QLD,Brisbane Airport,-27.3833318,153.1174995,1788000,2:35:00,plane
NSW,Sydney Airport,-33.947346,151.179428,QLD,Brisbane Airport,-27.3833318,153.1174995,940000,10:00:00,car
NSW,Sydney Airport,-33.947346,151.179428,QLD,Brisbane Airport,-27.3833318,153.1174995,751000,1:25:00,plane
NSW,Sydney Airport,-33.947346,151.179428,NT,Darwin Airport,-12.4088317,130.8726632,3150000,4:35:00,plane
NT,Darwin Airport,-12.4088317,130.8726632,QLD,Brisbane Airport,-27.3833318,153.1174995,3434000,38:00:00,car
NT,Darwin Airport,-12.4088317,130.8726632,QLD,Brisbane Airport,-27.3833318,153.1174995,751000,3:35:00,plane
